Latitude,Longitude,ZCategory
47.58251818,-122.2960749,SINGLE FAMILY / DUPLEX
47.54590598,-122.3869402,COMMERCIAL
47.68073379,-122.4007297,SINGLE FAMILY / DUPLEX
47.69084493,-122.3353764,SINGLE FAMILY / DUPLEX
47.65434944,-122.3504539,MULTIFAMILY
47.66768772,-122.3261314,SINGLE FAMILY / DUPLEX
47.61474836,-122.3125748,COMMERCIAL
47.62985781,-122.3596469,MULTIFAMILY
47.6638771,-122.3293858,SINGLE FAMILY / DUPLEX
47.61445789,-122.3133533,COMMERCIAL
47.52121566,-122.3537019,SINGLE FAMILY / DUPLEX
